BUILDING CLASS CATEGORY
RENTALS - 4-10 UNIT
CONDOS - ELEVATOR APARTMENTS
ONE FAMILY DWELLINGS
CONDOS - 2-10 UNIT RESIDENTIAL
COOPS - WALKUP APARTMENTS
COOPS - ELEVATOR APARTMENTS
RENTALS - ELEVATOR APARTMENTS
THREE FAMILY DWELLINGS
TWO FAMILY DWELLINGS
RENTALS - WALKUP APARTMENTS
CONDOS - WALKUP APARTMENTS
CONDO COOPS
